id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
22,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM2.5,6001,14.3,ug.m-3,annuelle,1420066800000,1451602800000,1,652382,6862336
23,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM2.5,6001,14.5,ug.m-3,annuelle,1451602800000,1483225200000,1,652382,6862336
24,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM2.5,6001,14.2,ug.m-3,annuelle,1483225200000,1514761200000,1,652382,6862336
25,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM2.5,6001,26.5,ug.m-3,annuelle,1388530800000,1420066800000,1,652843,6869659
26,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM2.5,6001,24.7,ug.m-3,annuelle,1420066800000,1451602800000,1,652843,6869659
27,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM2.5,6001,20.6,ug.m-3,annuelle,1451602800000,1483225200000,1,652843,6869659
28,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM2.5,6001,19.5,ug.m-3,annuelle,1483225200000,1514761200000,1,652843,6869659
29,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM2.5,6001,20.1,ug.m-3,annuelle,1388530800000,1420066800000,1,656891,6859993
30,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM2.5,6001,20.1,ug.m-3,annuelle,1420066800000,1451602800000,1,656891,6859993
31,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM2.5,6001,18.2,ug.m-3,annuelle,1451602800000,1483225200000,1,656891,6859993
32,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM2.5,6001,16.1,ug.m-3,annuelle,1483225200000,1514761200000,1,656891,6859993
33,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,PM2.5,6001,13.7,ug.m-3,annuelle,1388530800000,1420066800000,1,659365,6876912
34,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,PM2.5,6001,13.8,ug.m-3,annuelle,1420066800000,1451602800000,1,659365,6876912
35,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,PM2.5,6001,13.2,ug.m-3,annuelle,1451602800000,1483225200000,1,659365,6876912
