Year,Site,Annual Mean PM10 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
2015,Chatham Roadside,18.4751991310644,,94.5890410958904
2016,Chatham Roadside,19.0942704989424,,91.4959016393443
2017,Chatham Roadside,21.6452919742796,,95.8675799086758
2018,Chatham Roadside,23.7184948514617,,96.4497716894977
2019,Chatham Roadside,22.8619045486684,,96.8721461187215
2008,Chepstow A48,22.745843506569,,97.9166666666667
2009,Chepstow A48,22.1248976919299,,69.7374429223744
2010,Chepstow A48,21.2232565478069,,72.351598173516
2011,Chepstow A48,22.1075428417218,,84.6004566210046
2012,Chepstow A48,18.7669579213612,,99.0209471766849
2013,Chepstow A48,19.3924669073406,,94.8630136986301
2014,Chepstow A48,17.5610719828101,,95.6278538812785
2015,Chepstow A48,16.8630281690141,,87.5342465753425
2016,Chepstow A48,17.7438795656466,,92.2586520947177
2017,Chepstow A48,15.3102493176694,,96.1986301369863
2018,Chepstow A48,17.6348300958938,,92.8538812785388
2019,Chepstow A48,19.5978649494463,,94.8401826484018
2008,Chesterfield Roadside,22.8758364312268,,76.5596539162113
2009,Chesterfield Roadside,24.4167867435158,,31.689497716895
2010,Chesterfield Roadside,NA,,0
2011,Chesterfield Roadside,17.8452712100139,,65.662100456621
2012,Chesterfield Roadside,20.2327094119209,,85.7581967213115
2013,Chesterfield Roadside,17.3233509870005,,94.8401826484018
2014,Chesterfield Roadside,19.0320136679628,,96.8835616438356
2015,Chesterfield Roadside,17.8625847953216,,97.6027397260274
2016,Chesterfield Roadside,17.7012680730031,,96.0610200364299
2017,Chesterfield Roadside,14.2876565083865,,96.6438356164384
2018,Chesterfield Roadside,16.7782596646806,,82.3858447488584
2019,Chesterfield Roadside,14.1035698012603,,94.2009132420091
2018,Cardiff Newport Road,20.1373723166753,,66.472602739726
2019,Cardiff Newport Road,18.7740839785587,,95.8333333333333
2017,Coventry Binley Road,15.3129408109368,,73.4817351598173
2018,Coventry Binley Road,19.384748822037,,94.486301369863
2019,Coventry Binley Road,19.5024559252773,,97.7739726027397
2014,Ealing Horn Lane,31.0036341611145,,56.541095890411
2015,Ealing Horn Lane,28.3647341337907,,66.5525114155251
2016,Ealing Horn Lane,28.3892508978964,,88.752276867031
2017,Ealing Horn Lane,26.5840621266428,,95.5479452054795
2018,Ealing Horn Lane,24.7586501791286,,98.7785388127854
2019,Ealing Horn Lane,27.8914066210365,,81.7237442922374
2008,Stockton-on-Tees Eaglescliffe,14.4077555816686,,29.0642076502732
2009,Stockton-on-Tees Eaglescliffe,15.8076102418208,,96.3013698630137
2010,Stockton-on-Tees Eaglescliffe,14.4173881673882,,94.9315068493151
2011,Stockton-on-Tees Eaglescliffe,16.7765995051255,,96.8835616438356
2012,Stockton-on-Tees Eaglescliffe,16.3683400426237,,96.1520947176685
2013,Stockton-on-Tees Eaglescliffe,16.7837112261709,,97.0091324200913
