Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
2016,Hull Freetown,55.414806137827,,96.9945355191257
2017,Hull Freetown,58.4686176458333,,98.6301369863014
2018,Hull Freetown,62.7196338449074,,98.6301369863014
2019,Hull Freetown,61.9263238358135,,98.6301369863014
1994,Hull Centre,46.5470473500135,,96.986301369863
1995,Hull Centre,46.0412925170068,,95.8904109589041
1996,Hull Centre,48.0054173354735,,97.2677595628415
1997,Hull Centre,45.1050709369293,,92.8767123287671
1998,Hull Centre,48.9045264998655,,96.986301369863
1999,Hull Centre,54.2400904495877,,98.0821917808219
2000,Hull Centre,52.1866197183099,,96.9945355191257
2001,Hull Centre,47.6709683873549,,97.8082191780822
2002,Hull Centre,15.3833333333333,,4.10958904109589
1996,London N. Kensington,50.0524852276677,,74.8633879781421
1997,London N. Kensington,42.028483992467,,96.986301369863
1998,London N. Kensington,48.2111423220974,,97.5342465753425
1999,London N. Kensington,57.0402035115722,,98.0821917808219
2000,London N. Kensington,52.4135174418605,,93.9890710382514
2001,London N. Kensington,53.105744303452,,95.6164383561644
2002,London N. Kensington,50.0597211260195,,99.1780821917808
2003,London N. Kensington,58.1736111111111,,98.6301369863014
2004,London N. Kensington,55.5747632386288,,97.5409836065574
2005,London N. Kensington,54.4501676727029,,97.2602739726027
2006,London N. Kensington,59.8870431893688,,94.2465753424658
2007,London N. Kensington,54.3548026048026,,96.1643835616438
2008,London N. Kensington,56.0945436507937,,98.3606557377049
2009,London N. Kensington,54.2078288942696,,96.986301369863
2010,London N. Kensington,51.1893008795875,,86.027397260274
2011,London N. Kensington,57.8262615493959,,91.7808219178082
2012,London N. Kensington,54.5273442710417,,97.5409836065574
2013,London N. Kensington,54.9160262828814,,96.7123287671233
2014,London N. Kensington,59.3902810594892,,94.2465753424658
2015,London N. Kensington,58.1190219874245,,97.2602739726027
2016,London N. Kensington,53.8798958282077,,98.3606557377049
2017,London N. Kensington,56.5734791064815,,98.6301369863014
2018,London N. Kensington,63.1759041012743,,97.2602739726027
2019,London N. Kensington,64.1822670910526,,95.0684931506849
1996,Leamington Spa,49.3544474393531,,43.4426229508197
1997,Leamington Spa,53.1437969924812,,93.6986301369863
1998,Leamington Spa,56.2191283292978,,96.986301369863
1999,Leamington Spa,61.687558685446,,97.2602739726027
2000,Leamington Spa,58.8827148177707,,97.8142076502732
2001,Leamington Spa,54.1680993314231,,95.6164383561644
2002,Leamington Spa,55.4164338919926,,98.0821917808219
2003,Leamington Spa,64.064417989418,,98.6301369863014
2004,Leamington Spa,57.3069372595835,,98.0874316939891
2005,Leamington Spa,57.7163304252999,,71.7808219178082
2006,Leamington Spa,65.3255635587568,,97.8082191780822
2007,Leamington Spa,54.2118979396916,,95.6164383561644
2008,Leamington Spa,56.2040476190476,,95.6284153005464
2009,Leamington Spa,45.4171972410134,,98.3561643835616
2010,Leamington Spa,50.1183221210922,,98.9041095890411
2011,Leamington Spa,63.6398975791434,,98.0821917808219
2012,Leamington Spa,58.0745489078822,,95.9016393442623
2013,Leamington Spa,67.571119806044,,89.041095890411
2014,Leamington Spa,62.897913244724,,96.4383561643836
2015,Leamington Spa,63.6746762398613,,99.7260273972603
2016,Leamington Spa,57.6404733323187,,96.1748633879781
2017,Leamington Spa,58.9356032136316,,99.7260273972603
2018,Leamington Spa,60.1341565479461,,99.7260273972603
2019,Leamington Spa,54.7558298441926,,96.7123287671233
2013,Leicester University,46.4465725329794,,20.2739726027397
2014,Leicester University,60.8081924302249,,98.6301369863014
2015,Leicester University,59.7237690604802,,98.9041095890411
2016,Leicester University,53.5567320157524,,98.9071038251366
2017,Leicester University,53.7306691509152,,98.3561643835616
2018,Leicester University,57.7599784741459,,98.9041095890411
2019,Leicester University,55.4265773382936,,98.6301369863014
1993,Leeds Centre,37.6827414581652,,96.986301369863
1994,Leeds Centre,42.5077415359207,,94.7945205479452
1995,Leeds Centre,44.336334817213,,96.7123287671233
1996,Leeds Centre,41.931702449766,,94.5355191256831
1997,Leeds Centre,39.0354099025974,,96.4383561643836
1998,Leeds Centre,45.3652408637874,,94.2465753424658
1999,Leeds Centre,56.2537068719703,,91.5068493150685
2000,Leeds Centre,49.2640722955849,,97.5409836065574
2001,Leeds Centre,47.4037296999725,,94.7945205479452
2002,Leeds Centre,48.9833603896104,,96.4383561643836
2003,Leeds Centre,53.3075808958598,,92.3287671232877
2004,Leeds Centre,48.9100396825397,,81.9672131147541
2005,Leeds Centre,49.9238591269841,,92.0547945205479
2006,Leeds Centre,55.8607703469199,,98.9041095890411
2007,Leeds Centre,50.959287029729,,99.1780821917808
2008,Leeds Centre,58.2561969993477,,99.7267759562842
2009,Leeds Centre,49.1666315493749,,92.8767123287671
2010,Leeds Centre,44.6523878337462,,94.7945205479452
2011,Leeds Centre,47.0667480667481,,96.1643835616438
2012,Leeds Centre,53.5431136543015,,98.9071038251366
