Year,Site,Annual Mean PM10 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
2015,Aberdeen,11.7063031161473,,96.7123287671233
2016,Aberdeen,11.7611629830989,,96.3228597449909
2017,Aberdeen,11.4121624822359,,96.3926940639269
2018,Aberdeen,14.2837927363066,,96.4954337899543
2019,Aberdeen,13.6969598329444,,92.9337899543379
2019,Birmingham Acocks Green,11.0770882513165,,62.865296803653
1992,Belfast Centre,34.9429269695227,,79.1894353369763
1993,Belfast Centre,40.9365946331038,,96.1415525114155
1994,Belfast Centre,33.8377335744424,,94.6917808219178
1995,Belfast Centre,31.5235004207236,,94.9657534246575
1996,Belfast Centre,31.4404761904762,,94.672131147541
1997,Belfast Centre,32.1399928817179,,96.2214611872146
1998,Belfast Centre,27.2942389326865,,94.12100456621
1999,Belfast Centre,25.9788240861233,,96.4954337899543
2000,Belfast Centre,25.441209406495,,81.3296903460838
2001,Belfast Centre,25.2718542578732,,80.8333333333333
2002,Belfast Centre,22.7789079855022,,97.6369863013699
2003,Belfast Centre,24.0922426945194,,97.2716894977169
2004,Belfast Centre,21.2686885440114,,96.0951730418944
2005,Belfast Centre,18.5668506961114,,95.1141552511416
2006,Belfast Centre,18.3164755582378,,94.5776255707762
2007,Belfast Centre,18.7443908323281,,94.634703196347
2008,Belfast Centre,16.8079611650485,,58.6293260473588
2009,Belfast Centre,20.0976367319379,,84.5319634703196
2010,Belfast Centre,21.7214626391097,,71.8036529680365
2011,Belfast Centre,20.5959122445153,,60.87899543379
2012,Belfast Centre,14.7392886489025,,96.9831511839709
2013,Belfast Centre,17.65008496833,,73.8926940639269
2014,Belfast Centre,16.3788788554005,,97.3401826484018
2015,Belfast Centre,14.2252984986405,,96.5639269406393
2016,Belfast Centre,16.0265934835179,,89.4467213114754
2017,Belfast Centre,12.2447228637413,,79.0867579908676
2018,Belfast Centre,16.3365102836403,,84.9200913242009
2019,Belfast Centre,15.3547605633803,,88.3447488584475
2004,Birmingham Tyburn,22.9679079624584,,37.6024590163934
2005,Birmingham Tyburn,21.7233870033592,,98.5502283105023
2006,Birmingham Tyburn,24.4133108271039,,94.6803652968037
2007,Birmingham Tyburn,24.8513340323896,,97.9794520547945
2008,Birmingham Tyburn,19.0613956274334,,76.0245901639344
2009,Birmingham Tyburn,20.4622227791004,,91.1073059360731
2010,Birmingham Tyburn,23.7925817471938,,23.3904109589041
2011,Birmingham Tyburn,23.013501350135,,76.0958904109589
2012,Birmingham Tyburn,18.5813980492336,,98.0418943533698
2013,Birmingham Tyburn,17.8762830210637,,98.0936073059361
2014,Birmingham Tyburn,18.9510496943928,,85.9132420091324
2015,Birmingham Tyburn,14.6195778045838,,94.634703196347
2016,Birmingham Tyburn,16.191654842913,,78.6316029143898
2017,Birmingham Tyburn,17.4496664749856,,39.703196347032
1993,Birmingham East,17.5613793103448,,8.27625570776256
1994,Birmingham East,27.1649399576171,,96.9634703196347
1995,Birmingham East,29.1378401054776,,95.2397260273973
1996,Birmingham East,29.6038820992092,,95.0136612021858
1997,Birmingham East,26.1448982021669,,95.87899543379
1998,Birmingham East,19.6391512183747,,97.9109589041096
1999,Birmingham East,21.5129582068643,,97.7853881278539
2000,Birmingham East,20.5224125792068,,97.0173041894353
2001,Birmingham East,21.7020731423247,,98.013698630137
2002,Birmingham East,20.6902257416381,,96.5867579908676
