Year,Site,Annual Mean PM2.5 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual capture rate (%)
2018,Leamington Spa Rugby Road,11.7415474542378,,74.2123287671233
2019,Leamington Spa Rugby Road,9.18666381977968,,92.2260273972603
2009,Leeds Headingley Kerbside,14.3550825542073,,57.3858447488584
2010,Leeds Headingley Kerbside,18.570320855615,,85.3881278538813
2011,Leeds Headingley Kerbside,18.5442583732057,,95.4337899543379
2012,Leeds Headingley Kerbside,17.0031231925969,,98.4175774134791
2013,Leeds Headingley Kerbside,15.102410683316,,65.8219178082192
2014,Leeds Headingley Kerbside,14.3590568687105,,97.5570776255708
2015,Leeds Headingley Kerbside,12.5129805909259,,92.3401826484018
2016,Leeds Headingley Kerbside,12.0933251862197,,97.8142076502732
2017,Leeds Headingley Kerbside,10.0491015531661,,95.5479452054795
2018,Leeds Headingley Kerbside,11.1930480018917,,96.5525114155251
2019,Leeds Headingley Kerbside,12.3377901234568,,92.4657534246575
2009,London Marylebone Road,21.0042188350572,,83.8812785388128
2010,London Marylebone Road,22.6081160556754,,58.2305936073059
2011,London Marylebone Road,24.4545345633162,,95.2853881278539
2012,London Marylebone Road,21.4635352286774,,92.0992714025501
2013,London Marylebone Road,20.0745756718529,,96.8493150684932
2014,London Marylebone Road,18.1908101355333,,96.8607305936073
2015,London Marylebone Road,15.8036530948458,,97.0091324200913
2016,London Marylebone Road,15.8812013040901,,96.0268670309654
2017,London Marylebone Road,15.4362320559972,,96.2214611872146
2018,London Marylebone Road,15.7994511278195,,89.5776255707762
2019,London Marylebone Road,14.3479743331656,,90.7305936073059
2010,Saltash Roadside,9.38455618265777,,44.4977168949772
2013,Saltash Callington Road,10.7052134937485,,96.7808219178082
2014,Saltash Callington Road,9.86274477265184,,68.7899543378995
2015,Saltash Callington Road,9.73130687563195,,90.3196347031963
2016,Saltash Callington Road,8.26819373533876,,82.502276867031
2017,Saltash Callington Road,7.75967572611688,,97.865296803653
2018,Saltash Callington Road,8.40100406406885,,95.5022831050228
2019,Saltash Callington Road,9.49869637354823,,96.324200913242
2009,Sandy Roadside,15.0912970386655,,88.2762557077626
