Year,Site,Annual Mean PM2.5 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual capture rate (%)
2017,Aberdeen,5.78143078204976,,95.9018264840183
2018,Aberdeen,6.87081821374225,,97.5228310502283
2019,Aberdeen,7.25623867659626,,93.5045662100457
2011,Birmingham Acocks Green,8.90473390179359,,38.824200913242
2012,Birmingham Acocks Green,11.1948217810287,,98.0532786885246
2013,Birmingham Acocks Green,12.6680947150006,,93.527397260274
2014,Birmingham Acocks Green,12.4353105373343,,98.1506849315068
2015,Birmingham Acocks Green,12.4781580361942,,63.7100456621005
2016,Birmingham Acocks Green,10.2270339675499,,97.5295992714025
2017,Birmingham Acocks Green,10.7405978538579,,89.3607305936073
2018,Birmingham Acocks Green,9.2927453271028,,97.7168949771689
2019,Birmingham Acocks Green,8.65211767469172,,97.203196347032
2009,Belfast Centre,12.2894388565379,,86.2557077625571
2010,Belfast Centre,13.5088959585248,,96.8835616438356
2011,Belfast Centre,13.9686529229031,,80.8447488584475
2012,Belfast Centre,10.3523709413688,,97.4726775956284
2013,Belfast Centre,11.5633861075453,,80.0342465753425
2014,Belfast Centre,10.800491976104,,97.4543378995434
2015,Belfast Centre,9.0300035465185,,96.5639269406393
2016,Belfast Centre,9.55477758112094,,96.4822404371585
2017,Belfast Centre,8.71062824752008,,96.6666666666667
2018,Belfast Centre,10.0142647556846,,94.3835616438356
2019,Belfast Centre,10.6171966852259,,88.162100456621
2009,Birmingham Tyburn,13.5729768786127,,94.7945205479452
2010,Birmingham Tyburn,21.32568359375,,23.37899543379
2011,Birmingham Tyburn,15.6414279545127,,79.3036529680365
2012,Birmingham Tyburn,13.5871517384297,,98.884335154827
2013,Birmingham Tyburn,14.1622654621265,,82.134703196347
2014,Birmingham Tyburn,13.4757240404992,,96.9634703196347
2015,Birmingham Tyburn,9.54539922103213,,93.7899543378995
2016,Birmingham Tyburn,11.1894793152639,,95.7650273224044
2017,Birmingham Tyburn,12.0111426947129,,40.1598173515982
2009,Birmingham Centre,24.837037037037,,3.08219178082192
2009,Blackpool Marton,8.60098387537579,,83.5388127853881
2010,Blackpool Marton,12.1318214032601,,16.1073059360731
2011,Blackpool Marton,11.042802303263,,59.4748858447489
2012,Blackpool Marton,8.49723664377826,,67.9758652094718
2013,Blackpool Marton,NA,,0
2014,Blackpool Marton,10.2951289398281,,67.7283105022831
2015,Blackpool Marton,8.47752269779507,,88.013698630137
2016,Blackpool Marton,7.83742391039688,,93.5109289617486
2017,Blackpool Marton,7.34121226304704,,97.5570776255708
2018,Blackpool Marton,8.50964721845319,,84.1324200913242
2019,Blackpool Marton,9.17583155080214,,85.3881278538813
2018,Birmingham Ladywood,10.13456,,35.6735159817352
2019,Birmingham Ladywood,10.1019540979572,,92.7625570776256
2018,Bournemouth,10.5251635930993,,95.9474885844749
2019,Bournemouth,10.8196585250178,,96.2785388127854
2009,Bristol St Paul's,13.3441764132554,,93.6986301369863
2010,Bristol St Paul's,14.2112659283077,,95.8561643835616
2011,Bristol St Paul's,14.6888038513764,,92.4771689497717
2012,Bristol St Paul's,13.262993910211,,80.3847905282332
2013,Bristol St Paul's,12.8094346701164,,97.0662100456621
2014,Bristol St Paul's,13.1472439984258,,58.013698630137
2015,Bristol St Paul's,10.2467500911189,,93.9611872146119
2016,Bristol St Paul's,11.6608348843393,,85.6329690346084
