Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1994,Bush Estate,68.1430905695612,,97.8082191780822
1995,Bush Estate,63.9159759466927,,80.2739726027397
1996,Bush Estate,67.4984993997599,,97.5409836065574
1997,Bush Estate,62.8500661375661,,98.6301369863014
1998,Bush Estate,67.7562010876774,,98.3561643835616
1999,Bush Estate,70.2603741496599,,95.8904109589041
2000,Bush Estate,65.9584932480455,,91.5300546448087
2001,Bush Estate,64.4505082932049,,97.5342465753425
2002,Bush Estate,66.5534705407587,,96.986301369863
2003,Bush Estate,72.6607648725212,,96.7123287671233
2004,Bush Estate,65.781545951714,,97.5409836065574
2005,Bush Estate,64.8220373376623,,96.4383561643836
2006,Bush Estate,69.654558982684,,96.4383561643836
2007,Bush Estate,65.6736111111111,,98.6301369863014
2008,Bush Estate,68.8993168290043,,96.1748633879781
2009,Bush Estate,66.5056514178705,,97.5342465753425
2010,Bush Estate,67.7848875661376,,98.6301369863014
2011,Bush Estate,69.9612596435222,,98.0821917808219
2012,Bush Estate,69.5346290449882,,98.9071038251366
2013,Bush Estate,73.50654158241,,98.9041095890411
2014,Bush Estate,70.1270932385674,,96.7123287671233
2015,Bush Estate,69.3026540284923,,98.9041095890411
2016,Bush Estate,66.8478085874613,,88.2513661202186
2017,Bush Estate,66.8973077411049,,97.5342465753425
2018,Bush Estate,69.6555198152767,,98.0821917808219
2019,Bush Estate,69.6096621944997,,78.6301369863014
2016,Chilbolton Observatory,65.2225097001184,,93.4426229508197
2017,Chilbolton Observatory,66.9589430208755,,96.7123287671233
2018,Chilbolton Observatory,75.2661019784581,,97.8082191780822
2019,Chilbolton Observatory,73.7167814426469,,96.1643835616438
1987,Eskdalemuir,53.2333887043189,,94.2465753424658
1988,Eskdalemuir,63.356113627007,,94.8087431693989
1989,Eskdalemuir,70.0330726965342,,92.6027397260274
1990,Eskdalemuir,68.8539144471348,,96.986301369863
1991,Eskdalemuir,65.6572434607646,,97.2602739726027
1992,Eskdalemuir,66.4272781536013,,98.0874316939891
1993,Eskdalemuir,62.6798386021075,,97.8082191780822
1994,Eskdalemuir,68.3045112781955,,98.9041095890411
1995,Eskdalemuir,69.6292989417989,,98.6301369863014
1996,Eskdalemuir,64.3944027887398,,98.9071038251366
1997,Eskdalemuir,66.0604978354978,,90.4109589041096
1998,Eskdalemuir,68.3081292517007,,95.8904109589041
1999,Eskdalemuir,69.2555235350624,,95.0684931506849
2000,Eskdalemuir,59.9347883597884,,98.3606557377049
2001,Eskdalemuir,58.5985358132173,,98.9041095890411
2002,Eskdalemuir,60.6812205651491,,99.7260273972603
2003,Eskdalemuir,65.8965773809524,,96.4383561643836
2004,Eskdalemuir,65.4091630591631,,90.1639344262295
2005,Eskdalemuir,61.9916871921182,,95.3424657534246
2006,Eskdalemuir,72.8412808336631,,98.9041095890411
2007,Eskdalemuir,67.1071428571429,,98.3561643835616
2008,Eskdalemuir,68.8027426160338,,86.3387978142077
2009,Eskdalemuir,69.0926515452978,,98.3561643835616
2010,Eskdalemuir,67.5182229316308,,98.0821917808219
2011,Eskdalemuir,66.2449837501766,,92.3287671232877
2012,Eskdalemuir,62.75,,98.6338797814208
2013,Eskdalemuir,71.7165662320274,,98.9041095890411
2014,Eskdalemuir,70.1026449599327,,98.9041095890411
2015,Eskdalemuir,68.9106560914352,,98.6301369863014
2016,Eskdalemuir,65.5087582953181,,97.5409836065574
2017,Eskdalemuir,68.2890156351405,,98.9041095890411
2018,Eskdalemuir,70.7153958449644,,95.3424657534246
2019,Eskdalemuir,79.3564604679605,,85.2054794520548
1987,Great Dun Fell,67.2423596304193,,73.4246575342466
1988,Great Dun Fell,69.9969290263876,,85.792349726776
1989,Great Dun Fell,71.2604210823795,,92.3287671232877
1990,Great Dun Fell,73.6920338228749,,87.9452054794521
1991,Great Dun Fell,68.423987206823,,91.7808219178082
1992,Great Dun Fell,72.1492776886035,,97.2677595628415
1993,Great Dun Fell,72.0542180660565,,98.3561643835616
1994,Great Dun Fell,75.5281233279829,,97.5342465753425
1995,Great Dun Fell,73.1100118717847,,98.9041095890411
1996,Great Dun Fell,49.8064516129032,,8.46994535519126
1997,Great Dun Fell,NA,,0
1998,Great Dun Fell,NA,,0
1999,Great Dun Fell,NA,,0
2000,Great Dun Fell,69.5314396028682,,70.7650273224044
2001,Great Dun Fell,72.6432834841926,,99.4520547945205
2002,Great Dun Fell,75.2873134328358,,73.4246575342466
2003,Great Dun Fell,76.326197053407,,99.1780821917808
2004,Great Dun Fell,70.0278545119705,,98.9071038251366
2005,Great Dun Fell,68.4690082644628,,99.4520547945205
2006,Great Dun Fell,71.3498421468035,,99.1780821917808
2007,Great Dun Fell,69.658287837428,,86.027397260274
2008,Great Dun Fell,65.6417905312414,,94.5355191256831
2009,Great Dun Fell,62.6094193163159,,87.3972602739726
2010,Great Dun Fell,65.7892251815981,,80.8219178082192
2011,Great Dun Fell,61.641859344894,,94.7945205479452
2012,Great Dun Fell,62.779132130668,,80.0546448087432
2013,Great Dun Fell,73.1314051876729,,89.5890410958904
2014,Great Dun Fell,72.9041921574037,,97.5342465753425
2015,Great Dun Fell,66.4227142222772,,79.1780821917808
2016,Great Dun Fell,65.4940968100831,,81.4207650273224
1988,Glazebury,57.8569642857143,,54.6448087431694
1989,Glazebury,52.2369173817937,,77.5342465753425
1990,Glazebury,57.977452465085,,77.5342465753425
1991,Glazebury,56.8653074256523,,71.5068493150685
1992,Glazebury,54.9678889359898,,92.0765027322404
1993,Glazebury,49.5117728531856,,98.9041095890411
1994,Glazebury,55.5727589029881,,95.6164383561644
1995,Glazebury,54.1868290668869,,94.7945205479452
1996,Glazebury,51.810119047619,,98.3606557377049
1997,Glazebury,52.0801749271137,,93.972602739726
1998,Glazebury,56.1936147186147,,90.4109589041096
1999,Glazebury,60.0469518190757,,92.8767123287671
2000,Glazebury,58.8253096110239,,74.5901639344262
2001,Glazebury,53.7150951031971,,96.7123287671233
2002,Glazebury,55.183545563072,,98.3561643835616
2003,Glazebury,57.7874519372967,,88.2191780821918
2004,Glazebury,62.5424000545777,,95.3551912568306
2005,Glazebury,64.6495078478319,,98.0821917808219
2006,Glazebury,69.0616272824919,,72.8767123287671
2007,Glazebury,59.7918938567794,,71.7808219178082
2008,Glazebury,61.8996439697374,,87.7049180327869
2009,Glazebury,55.663115530303,,96.4383561643836
2010,Glazebury,55.4656158552807,,98.0821917808219
2011,Glazebury,60.0842592592593,,98.6301369863014
2012,Glazebury,55.4960070984916,,87.9781420765027
2013,Glazebury,60.0611584415891,,96.7123287671233
2014,Glazebury,60.0640198037858,,98.9041095890411
2015,Glazebury,62.2309981042461,,92.3287671232877
2016,Glazebury,56.586945495205,,98.3606557377049
2017,Glazebury,60.4564757881944,,98.6301369863014
2018,Glazebury,64.0420810049638,,77.5342465753425
2019,Glazebury,62.5360574012524,,94.7945205479452
1987,Harwell,56.5508288639688,,80.2739726027397
1988,Harwell,61.9010633379565,,56.2841530054645
1989,Harwell,62.9966435913572,,62.1917808219178
1990,Harwell,68.479078613694,,92.6027397260274
1991,Harwell,67.105203317282,,97.5342465753425
1992,Harwell,71.558500151653,,85.792349726776
1993,Harwell,67.9755777310924,,74.5205479452055
1994,Harwell,70.1648827726809,,89.5890410958904
1995,Harwell,70.5676901858304,,89.8630136986301
1996,Harwell,62.8583887043189,,93.9890710382514
1997,Harwell,66.5510002817695,,92.6027397260274
1998,Harwell,66.5719871526323,,93.4246575342466
1999,Harwell,70.9174265450861,,90.1369863013699
2000,Harwell,65.9546277665996,,96.9945355191257
2001,Harwell,64.8726530612245,,95.8904109589041
2002,Harwell,67.2782993197279,,95.8904109589041
2003,Harwell,79.9984126984127,,94.5205479452055
2004,Harwell,73.3296222810112,,88.5245901639344
2005,Harwell,65.7423876592891,,97.2602739726027
2006,Harwell,70.4718934911243,,92.6027397260274
2007,Harwell,61.3549233252623,,80.8219178082192
2008,Harwell,63.2801475519785,,96.9945355191257
2009,Harwell,63.5858676804055,,97.8082191780822
2010,Harwell,66.5542328042328,,98.6301369863014
2011,Harwell,68.9660530879018,,97.8082191780822
2012,Harwell,67.8014099494546,,97.8142076502732
2013,Harwell,64.7469184475047,,96.986301369863
2014,Harwell,70.1600874482908,,98.0821917808219
2015,Harwell,70.4525721529459,,96.986301369863
1987,High Muffles,49.3135642135642,,45.2054794520548
1988,High Muffles,62.5331321260899,,96.9945355191257
1989,High Muffles,68.3877817584714,,87.3972602739726
1990,High Muffles,67.5150302008709,,92.8767123287671
1991,High Muffles,69.7265230114392,,98.0821917808219
1992,High Muffles,73.6074929971989,,83.6065573770492
1993,High Muffles,71.6482683982684,,78.3561643835616
1994,High Muffles,72.2800611864858,,98.0821917808219
1995,High Muffles,69.8431074134199,,96.4383561643836
1996,High Muffles,70.1767247065031,,98.6338797814208
1997,High Muffles,67.1549986471861,,96.4383561643836
1998,High Muffles,68.9245472837022,,97.2602739726027
1999,High Muffles,75.3440541962641,,99.1780821917808
2000,High Muffles,68.4470551378446,,93.4426229508197
2001,High Muffles,67.1550960735171,,78.0821917808219
2002,High Muffles,70.2966736694678,,93.1506849315068
2003,High Muffles,65.9978717744081,,98.0821917808219
2004,High Muffles,75.6503673094582,,99.1803278688525
2005,High Muffles,72.7655786350148,,92.3287671232877
2006,High Muffles,71.4496252204586,,88.7671232876712
2007,High Muffles,64.4979266987694,,97.5342465753425
2008,High Muffles,69.3918868487834,,87.1584699453552
2009,High Muffles,79.1489653453004,,52.3287671232877
2010,High Muffles,71.2172619047619,,92.0547945205479
2011,High Muffles,70.3617604617605,,90.4109589041096
2012,High Muffles,68.9412878787879,,96.1748633879781
2013,High Muffles,71.6736984997332,,97.8082191780822
2014,High Muffles,74.3948522396279,,91.5068493150685
2015,High Muffles,75.4444705049751,,91.7808219178082
2016,High Muffles,70.0824108258032,,90.7103825136612
2017,High Muffles,69.049893675257,,96.4383561643836
2018,High Muffles,75.097261507711,,96.4383561643836
2019,High Muffles,76.8780220197967,,97.5342465753425
1988,Ladybower,61.0956790123457,,44.2622950819672
1989,Ladybower,68.0724178868223,,98.9041095890411
1990,Ladybower,67.7433580139373,,89.8630136986301
1991,Ladybower,65.0092987443734,,55.0684931506849
1992,Ladybower,59.7397395422257,,49.4535519125683
1993,Ladybower,61.767619047619,,89.041095890411
1994,Ladybower,67.3657114763309,,92.8767123287671
1995,Ladybower,65.3465997510115,,83.8356164383562
1996,Ladybower,64.0906819517931,,88.5245901639344
1997,Ladybower,66.6079144620811,,88.7671232876712
1998,Ladybower,65.192321080479,,93.6986301369863
1999,Ladybower,72.07552298376,,94.7945205479452
2000,Ladybower,64.9276052449966,,94.2622950819672
2001,Ladybower,55.6122271825397,,52.6027397260274
2002,Ladybower,62.5849811676083,,96.986301369863
2003,Ladybower,70.8630114017438,,97.2602739726027
2004,Ladybower,75.4688318693173,,84.4262295081967
2005,Ladybower,60.0827875562833,,95.6164383561644
2006,Ladybower,61.0412328196585,,93.972602739726
2007,Ladybower,63.5803739574926,,96.986301369863
2008,Ladybower,68.7741753125831,,97.8142076502732
2009,Ladybower,64.3451692815855,,94.7945205479452
2010,Ladybower,69.0762670565302,,93.6986301369863
2011,Ladybower,66.892152917505,,97.2602739726027
2012,Ladybower,60.0577760189949,,98.6338797814208
2013,Ladybower,61.3721589605717,,98.3561643835616
2014,Ladybower,53.0835881850311,,96.4383561643836
2015,Ladybower,68.65039234375,,4.38356164383562
2016,Ladybower,65.0914229275048,,94.5355191256831
2017,Ladybower,66.4915515816581,,91.5068493150685
2018,Ladybower,67.2191790863095,,76.7123287671233
2019,Ladybower,67.8411756247366,,92.8767123287671
2005,Lerwick,63.8686940122584,,55.3424657534247
2006,Lerwick,73.359241673548,,94.7945205479452
2007,Lerwick,71.4635101597642,,84.1095890410959
2008,Lerwick,77.817597153804,,95.0819672131148
2009,Lerwick,77.5425170068027,,90.1369863013699
2010,Lerwick,72.1988062442608,,99.4520547945205
2011,Lerwick,76.1689944134078,,98.0821917808219
2012,Lerwick,70.8244822092406,,73.4972677595628
2013,Lerwick,75.3695578113745,,65.2054794520548
2014,Lerwick,NA,,0
2015,Lerwick,77.1941820946285,,90.958904109589
2016,Lerwick,75.9350588051643,,96.9945355191257
2017,Lerwick,79.9796685067734,,95.3424657534246
2018,Lerwick,79.5587218082524,,84.6575342465753
2019,Lerwick,79.9857120690343,,98.0821917808219
1987,Lullington Heath,63.874358076564,,55.8904109589041
1988,Lullington Heath,69.332825203252,,89.6174863387978
1989,Lullington Heath,80.4983093829248,,92.6027397260274
1990,Lullington Heath,83.939652590596,,87.1232876712329
1991,Lullington Heath,65.9679360694554,,99.1780821917808
1992,Lullington Heath,73.8809523809524,,89.344262295082
1993,Lullington Heath,71.7463338276487,,79.1780821917808
1994,Lullington Heath,79.0695072332731,,86.5753424657534
1995,Lullington Heath,79.2662180814355,,94.5205479452055
1996,Lullington Heath,70.6091942426688,,96.7213114754098
1997,Lullington Heath,74.1970478943022,,94.7945205479452
1998,Lullington Heath,73.5142857142857,,86.3013698630137
1999,Lullington Heath,79.1556724672872,,96.7123287671233
2000,Lullington Heath,72.4325767690254,,87.7049180327869
2001,Lullington Heath,72.2406655844156,,96.4383561643836
2002,Lullington Heath,69.7159058889828,,92.6027397260274
2003,Lullington Heath,81.3616071428571,,94.2465753424658
2004,Lullington Heath,76.4021935304734,,93.7158469945355
2005,Lullington Heath,76.280526735834,,98.0821917808219
2006,Lullington Heath,77.6674430641822,,88.2191780821918
2007,Lullington Heath,68.0277093596059,,95.3424657534246
2008,Lullington Heath,73.0592245277999,,97.8142076502732
2009,Lullington Heath,71.5707344162155,,93.972602739726
2010,Lullington Heath,43.9221428571429,,27.3972602739726
2011,Lullington Heath,60.9254874651811,,98.3561643835616
2012,Lullington Heath,60.6087257617729,,98.6338797814208
2013,Lullington Heath,62.5296216991952,,97.2602739726027
2014,Lullington Heath,66.6299500198413,,97.8082191780822
2015,Lullington Heath,69.6367244187675,,97.8082191780822
2016,Lullington Heath,67.5469161639642,,95.0819672131148
2017,Lullington Heath,68.6960931373788,,92.8767123287671
2018,Lullington Heath,75.1536604819615,,98.9041095890411
2019,Lullington Heath,75.081141607312,,96.4383561643836
1987,Lough Navar,58.8759292746634,,64.9315068493151
1988,Lough Navar,63.5654761904762,,87.9781420765027
1989,Lough Navar,64.4330357142857,,98.6301369863014
