FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-05-08;1701;Gerencia de Ávila;170115;C.S. MADRIGAL DE LAS ALTAS TORRES;11;0.457570715;-5.020748;41.074037;MADRIGAL DE LAS ALTAS TORRES;Ávila
2020-05-08;1702;Gerencia de Burgos;170212;C.S. GAMONAL ANTIGUA;203;1.330885727;-3.6191225;42.3758528;GAMONAL ANTIGUA;Burgos
2020-05-08;1702;Gerencia de Burgos;170218;C.S. LOS CUBOS;139;0.934893732;-3.742717;42.3602119;LOS CUBOS;Burgos
2020-05-08;1702;Gerencia de Burgos;170230;C.S. VALLE DE LOSA;0;0.0;-3.1799508;42.9747524;VALLE DE LOSA;Burgos
2020-05-08;1703;Gerencia de León;170303;C.S. ASTORGA II;56;1.427842937;-6.1802328;42.4989784;ASTORGA II;León
2020-05-08;1703;Gerencia de León;170322;C.S. RIBERA DEL ORBIGO;240;1.808999774;-5.8615923;42.5482323;RIBERA DEL ORBIGO;León
2020-05-08;1705;Gerencia de Palencia;170509;C.S. DE LA PUEBLA;392;1.927426492;-4.529;42.006;DE LA PUEBLA;Palencia
2020-05-08;1706;Gerencia de Salamanca;170603;C.S. BEJAR;359;2.23300367;-5.8578389;40.3892584;BEJAR;Salamanca
2020-05-08;1706;Gerencia de Salamanca;170619;C.S. MATILLA CAÑOS;10;0.548546352;-5.9732262;40.8405196;MATILLA CAÑOS;Salamanca
2020-05-08;1706;Gerencia de Salamanca;170634;C.S. VITIGUDINO;33;0.541249795;-6.397953;41.061593;VITIGUDINO;Salamanca
2020-05-08;1706;Gerencia de Salamanca;170635;C.S. UNIVERSIDAD CENTRO;274;2.384267316;-5.6668451;40.9635604;UNIVERSIDAD CENTRO;Salamanca
2020-05-08;1707;Gerencia de Segovia;170710;C.S. SEGOVIA III;442;2.886059419;-4.120243;40.94888;SEGOVIA III;Segovia
2020-05-08;1707;Gerencia de Segovia;170712;C.S. SEPULVEDA;11;0.383542538;-3.712417;41.329873;SEPULVEDA;Segovia
2020-05-08;1707;Gerencia de Segovia;170714;C.S. EL ESPINAR;84;0.985221675;-4.2225274;40.7307872;EL ESPINAR;Segovia
2020-05-08;1708;Gerencia de Soria;170808;C.S. OLVEGA;8;0.19020447;-1.9769546;41.7233482;OLVEGA;Soria
2020-05-08;1708;Gerencia de Soria;170809;C.S. PINARES-COVALEDA;120;3.587443946;-2.819235;41.9661517;PINARES-COVALEDA;Soria
2020-05-08;1709;Gerencia de Valladolid Oeste;170902;C.S. ARTURO EYRIES;162;0.854520519;-4.7469394;41.6284171;ARTURO EYRIES;Valladolid
2020-05-08;1709;Gerencia de Valladolid Oeste;170914;C.S. MOTA DEL MARQUES;6;0.319318787;-5.2237315;41.6665615;MOTA DEL MARQUES;Valladolid
2020-05-08;1709;Gerencia de Valladolid Oeste;170919;C.S. PARQUE ALAMEDA-COVARESA;430;1.928770073;-4.7912209;41.5671132;PARQUE ALAMEDA-COVARESA;Valladolid
2020-05-08;1709;Gerencia de Valladolid Oeste;170925;C.S. VILLALON DE CAMPOS;14;0.618374558;-5.059256;42.1180914;VILLALON DE CAMPOS;Valladolid
2020-05-08;1710;Gerencia de Valladolid Este;171008;C.S. TORTOLA;77;0.545403032;-4.696616;41.6303261;TORTOLA;Valladolid
